Tom can't come in.	Tom kać bolo daea.
Is that difficult to do?	Ena difficult gea chi?
Morphology.	Morphology.
Where do you come from?	Ape do okon renko?
Those who want to stay can stay.	Tae sukukô tan kokô tae daea.
Do you have a car?	Aben taḱ Car menaḱa?
"In the case of patient death during the course of medical treatment, even if there is medical error present, it is not automatically legally considered to be an ""unusual death."""	"Medical Treatment sesen tan Course re Patient Gonoć hoban re, Medical Error menaḱ reó, ena do epenkate Law lekate ""unusual Gonoć"" mente ká menoḱa."
I'm hungry!	Rengećń tana!
Duck!	Ungut́enn pe!
Feral children lack the basic social skills that are normally learned in the process of enculturation.	Birbagehon ko taḱ, normally do Enculturation Process te etooḱ basic Sangetalaaḱepeto (social skill) kaa taena.
Tunisia has a history of labor emigration.	Tunisia re Labour koaḱ Disumbanage reaḱ Sidaehonoba menaḱa.
I wasn't able to do everything I wanted to do.	Paiṭi sanaṅiń taekenaḱ ko saben kań pura dae eana.
We are in school.	School re menaḱbua.
I like to run.	Nir sukuńa.
Tom has a Ford.	Tom taḱ miat́ Ford menaḱa.
Why are you laughing?	Chikateben landaê tana?
Indian movies, music, and spiritual teachings play an increasing role in global culture.	Indian-movie, music, spiritual-teaching ko do global Culture re increasing Role menaḱa.
We have to remember that the choices of individual human beings led to repeated world war. But we also have to remember that the choices of individual human beings created a United Nations, so that a war like that would never happen again.	Mipiat́ hoo koaḱ Sala Sanaṅ ko te repeated Otesae Gopoć ko hoba akana mentebu uṛuḱ rikaê te hobana. Mipiat́ hoo koaḱ Sala Sanaṅ ko te ge mendo, enkan Gopoć anḍoḱ alakâ hoban mente United Nations bai eanaḱ óbu uṛuḱ rikaê te hobana.
I'm never not hungry.	Jahìmita ó Rengeć banoḱ gedo baṅińa.
I can't listen to stupid people.	Onḍo Hoo koaḱ Kaji kań ayum daea.
Gold's heavier than iron.	Samaom do Meeht́ aete ó hambala.
The village was burnt down.	Hatu ló chaba eana.
However, several species of bacteria are pathogenic and cause infectious diseases, including cholera, syphilis, anthrax, leprosy, tuberculosis, tetanus and bubonic plague.	Enkareóge, several Bacteriahita dokô pathogenic gea, anḍoḱ enko te Cholera,, Syphilis,, Anthrax,, Tunḍubanḍia,, Tuberculosis,, Tetanus,, Bubonic Plague ko lekan Chaálrua (Infectious Diseases) ko ooḱla.
It has unresolved territorial disputes with China and with Pakistan.	India aḱ China,, Pakistan loḱ kaa resolve akan ote chirmit́ dispute menaḱa.
I don't want to tell you how I did that.	Ena chilika teń Paeṭi ket́a menteaḱ ká kajiam sanaṅiń tana.
Bacteria were first observed by the Dutch microscopist Antonie van Leeuwenhoek in 1676, using a single-lens microscope of his own design.	Bacteria do ayarùtar 1676 re Dutch Microscopist Antonie van Leeuwenhoek aćge design let́ Single-lens Nelmansanaṕ tekô nel lena.
We don't have that kind of money.	Imin Puisa banoḱa tale.
The village was burnt down.	Hatu atar chaba eana.
Gold's heavier than iron.	Samaom do Meeht́ aete hambala.
What would you like to eat?	Chenaḱm jomêa?
I don't know when he will arrive.	Chuilać hujoḱa kań adaana.
Calm down.	Hapann pe.
Did the two of you meet in Boston?	Boston reben napam lena chi?
I have a car.	Ań taḱ Car menaḱa.
The space station not only served as a laboratory and living space for astronauts, but also as a support base for other spacecraft which had the ability to dock with the station.	Space Station do, Astronaut koaḱ Laboratory anḍoḱ Taenpai leka sekar ge mena do ká, en Station loḱ soporoḱ dae eṭaḱ Spacecraft ko lagit́ Support Base leka ó Paeṭić emê taekena.
What are you doing?	Chenaḱm chika tana?
It is a village.	Ena do Hatu.
I didn't mean to wake you.	Evn ichim teaḱ do kań sanaṅ kena.
Umbrellas sell well.	Chatom ko bugi akarińoḱa.
China is bigger than Japan.	China do, Japan aete maraṅa.
Ancient Greek ko India renko do Indoi (Ἰνδοί) kô metakô taekena, ena reaḱ translation do “Indus gaḍa ren ko”.	"The ancient Greeks referred to the Indians as Indoi (Ἰνδοί), which translates as ""The people of the Indus""."
Show me how.	Uduṕań ben chilikate.
Are you happy?	Rãasa repea chi kaa?
Although the term bacteria traditionally included all prokaryotes, the scientific classification changed after the discovery in the 1990s that prokaryotes consist of two very different groups of organisms that evolved from an ancient common ancestor.	Bacteria, nen Term re traditionally do sanam Prokaryote ko agumesaoḱ taeken reó ge, Prokaryote kore miat́ ge Ancient Common Ancestor aete haratersa akan barea esu rená tannga Organism Group menaḱ mente 1990 kore urum ean tayom, Scientific Classification ol ruaa eana.
Robert then survived in the wild, presumably with vervet monkeys, for three years until he was found by soldiers of National Resistance Army.	Robert do National Resistance Army ren Soldier ko nam let́ić jóṅ apea sirma Bir reć jivt́ lena, presumably Vervet Gai ko loḱ.
Tell me.	Kajiań ben.
What are you doing?	Chenaḱben chika tana?
I'm a student.	Paṛao tanań.
India was the world's second-largest textile exporter after China in the 2013 calendar year.	2013 sirma, India do China tayom Otesai chetan baáraḱ-maraṅ Textile Eéxportdisum lena.
Say it again.	anḍoḱ misa kajiêben.
He's flexible.	Flexible geać.
Have you washed the dishes?	Bela koben gasar ket́a chi?
I have less than you.	Am aete huḍiń menaḱa ań taḱ re.
Where does it hurt?	Okontaḱ hasuben tana?
Most do not cause diseases, are beneficial to their environments, and are essential for life.	Enko láḱpaa ko tedo Ruahasu kaa ooḱla, tako Environment lagit́kô beneficial gea, oḍok Jinivt́ lagit́kô essential gea.
With North Korea's announcement on the 26th of its nuclear development plan based upon the agreement stemming from the Six Party Talks, and the United States' commencement of procedures to remove North Korea from its designation on the list of State Sponsors of Terrorism, the families of abductees have expressed growing unease that it may constitute an abandonment of the abductee issue.	North Korea ren ko 26 musiṅg Turui Party Japagar aete ooḱl akan Agreement chetanaḱ Nuclear Development Plan kô announce ket́aḱ te, anḍoḱ State Sponsors of Terrorism List re North Korea olmesa akanaḱ atomê teaḱ Process United States ren ko eṭećê teaḱ te, Abductee Issue reaḱ Banage hoban chi toraṅ mente Abductee koaḱ Family ren ko growing unease kô express akat́a.
I was told not to do that.	Ena alamà' kô metat́ińa.
What's he doing over there?	Akin han re chenaḱkin chika tana?
Some researchers also include the opposite effect for high performers: their tendency to underestimate their skills.	Chiminaṅ Researcher ko do, high performer kore ena reaḱ opposite effect (skill underestimate enn teaḱ tendency) ókô include êa.
I have a husband.	Koaanań.
By 55,000 years ago, the first modern humans, or Homo sapiens, had arrived on the Indian subcontinent from Africa, where they had earlier evolved.	55,000 sirma maaṅ loḱ do, ayarutar modern-human ko (Homo sapien ko), ako sidae evolve len Africa aete Indian subcontinent kô hućoḱ sekaa ean taekena.
I am rich.	Puisaanań.
Tom doesn't speak Spanish.	Tom Spanish kać jagar etoêa.
Modern humans arrived on the Indian subcontinent from Africa no later than 55,000 years ago.	Modern human ko do Africa aete Indian subcontinent te tapayomutar 55,000 sirma maaṅ rekô hućoḱ lena.
Its evidence today is found in the hymns of the Rigveda.	Ena reaḱ Evidence Rigveda reaḱ Hymn kore namoḱa.
The world is a village.	Nen Otesae miat́ Hatu.
Modern bioethicists who advocate new eugenics characterize it as a way of enhancing individual traits, regardless of group membership.	New Eugenics advocate ê tan Modern bioethicist ko do, ena regardless of group membership, individual aḱ Trait ko enhance ê tan Hora lekakô characterize êa.
I am married.	Aandi akanań.
We live on different continents.	Eṭaḱ-eṭaḱ Continent relaṅa.
However, it has remained lower than those of other Asian developing countries such as Indonesia, Malaysia, Philippines, Sri Lanka, and Thailand, and is expected to remain so in the near future.	Enkareóge, ena do Indonesia, Malaysia, Philippines, Sri Lanka, anḍoḱ Thailand lekan eṭaḱ Asia ren Developing Disum ko aete ó latar rea, anḍoḱ Kanalom ó enka ge taena mente Expectation menaḱa.
Do you want to play?	Inuṅam?
Before them, Ignaz Semmelweis and Joseph Lister had realised the importance of sanitised hands in medical work.	Akin ayar, Ignaz Sammelweis anḍoḱ Joseph Lister do Medical Paeṭi re Tí Sanitisation reaḱ Importance kin chirgal let́ taekena.
The villages are thirsty.	Hatu re Daḱkô ringa tana.
Why are you dancing?	Chenaḱ menteben susun tana?
Good morning!	Setaḱ Siṅgi joar!
A feral child (also called wild child) is a young individual who has lived isolated from human contact from a very young age, with little or no experience of human care, social behavior, or language.	Birbagehon (wild child ókô metaà) do, Baleḱtaesirma aete ge Hoojanapaḱ (human contact) sangin re tannga akan aete, Hooneélsapaṕ (human care),, sangitala Sepentapae (social behaviour),, Jagar reaḱ Nelàdasẽa (experience), menaḱ re jokoć ge baredo banoḱ lekan baleḱ Individual.
America wanted, and still wants, to support the countries bordering Russia in order to destabilize it.	America ren ko Russia destabilize ê lagit́ ena Chirmit́ ren Disum kokô support sanaṅ kena, sanaṅ tan geakô.
You'll be a grandmother soon.	Anjaa gem Jiaṅoḱa.
We are in Paris.	Paris rebua.
I like fish.	Hać koń sukuaà.
Tom is wearing a new pair of jeans.	Tom nama Jeans eć tusiṅ akat́a.
That's why cats love you.	Enamente Bilae kokô sukutemea.
He is from our village.	Ać do abu Hatu renić.
I'm a student.	School tanań.
When Harsha of Kannauj, who ruled much of the Indo-Gangetic Plain from 606 to 647 CE, attempted to expand southwards, he was defeated by the Chalukya ruler of the Deccan.	606 aete 647 CE re Indo-Gangetic Plain goṭa naeć rule ken Kannauj ren Harsha south paa teć expand lekead re, Deccan ren Chalukya ruler taḱaeteć haratiṅ eana.
I'm going to a meeting.	Miat́ Dunuṕ taḱń senoḱ tana.
My husband is washing the car.	Ańaḱ Koa Car eć chapiê tana.
Are you tired?	Laga eanam?
You look very tired.	Esu laga akan gem neloḱ tana.
Don't lie!	Alam chakat́a!
Geography	Geography
Calm down.	Hapan ben.
Bounded by the Indian Ocean on the south, the Arabian Sea on the southwest, and the Bay of Bengal on the southeast, it shares land borders with Pakistan to the west; China, Nepal, and Bhutan to the north; and Bangladesh and Myanmar to the east.	South re Indian Ocean, southwest re Arabian Sea, southeast re Bay of Bengal menaḱa. West re Pakistan, North paa China, Nepal anḍoḱ Bhutan, east paa Bangladesh anḍoḱ Myanmar loḱ chirmit́ menaḱa. Indian Ocean ren Sri Lanka, Maldives naeć re menaḱa.
Can you help me?	Denga daeńaben chi?
A cat came out from under the desk.	Table latar aete Bilae ooḱl eana.
I don't want to go to school.	School kaa sen sukuń tana.
Russia is not the victim in its war on Ukraine.	Russiaren ko, Ukraine re takoaḱ War ren Victim ko do kaa.
Plato suggested applying the principles of selective breeding to humans around 400 BCE.	Human ko re selective breeding principle apply ê teaḱ do 400 BCE naaćnoḱ re Plato suggest led taekena.
Do you feel OK today?	Tisiṅ bugiben adaê tana chi?
How much does this cost?	Nena chimin gonoṅa?
I am at home every evening.	Jao Ayuṕ Oaḱ regeń taena.
He has since gained full speech abilities and has also twice competed in the Special Olympics for Uganda.	Imita aete ać do tayom, full Jagardanaeć eto ket́a, anḍoḱ Uganda lagit́ bar dao Special Olympics reóć compete let́a.
Is Tom awake?	Tom evn akanać chi?
I know you and Tom didn't do that together.	Tom loḱ misa te kaben paiṭi ket́a menteń adaana.
Driven by growth, India's nominal GDP per capita increased steadily from US$308 in 1991, when economic liberalisation began, to US$1,380 in 2010, to an estimated US$2,731 in 2024.	Growth te udur tersa akan India aḱ Nominal GDP Per Capita do, 1991 ren US$308 aete, 2010 ren US$1,380, anḍoḱ 2024 ren estimate akan US$2,731 jooṅ steadily increase hućoḱ akana.
The earliest known modern human remains in South Asia date to about 30,000 years ago.	South Asia ren earliest-known modern-human satareć ko reaḱ back-date do 30,000 sirma maaṅ daradari.
She doesn't want to be with anyone.	Jahć loḱó kaa taenn sukuć tana.
Raised by wolves.	Ṭẽoḱ ko hara maraṅ ken.
The East India Company's control of the seas, greater resources, and more advanced military training and technology led it to increasingly assert its military strength and caused it to become attractive to a portion of the Indian elite; these factors were crucial in allowing the company to gain control over the Bengal region by 1765 and sideline the other European companies.	Mughal ko, especially Akbar suba re, tribal bond anḍoḱ Islamic identity bage keet́, Persianised culture te near-divine status menaḱ tan emperor chetan re em len loyalty te, akoaḱ osar saniṅ ote chirmit́ ko unite ket́a.
The contemporary history of eugenics began in the late 19th century, when a popular eugenics movement emerged in the United Kingdom, and then spread to many countries, including the United States, Canada, Australia, and most European countries (e.g., Sweden and Germany).	Eugenics reaḱ Contemporary history do, 19th century aḱ United Kingdom re popular Eugenics movement unduṕ janeet́ United States,, Canada,, Australia,, goṭa noḱ European country (e.g., Sweden,, Germany) ko re nitir ean loḱ eṭeć eana.
Bacteria do not reproduce in alcohol.	Bacteria ko Alcohol re kakô hita posaoḱa.
Am I winning?	Daeoḱ tanań chi?
You've forgotten to tie your shoelaces.	Amaḱ Shoelace tolem riiń tat́a.
In the Punjab, Sikhism emerged, rejecting institutionalised religion.	Punjab re, institutionalised-religion reject ê tan Sikhism ooḱl eana.
I sat next to Tom.	Tom japaḱ reń duṕ lena.
Go along this street and turn right at the bank.	Nen Street rege sen akaa aete, Bank taḱ etom paa biurenn me.
Is it yours?	Ena abenaḱ chi?
Don't worry.	Alam uṛuḱoḱa.
"Once regarded as plants constituting the class Schizomycetes (""fission fungi""), bacteria are now classified as prokaryotes."	"Ayar kodo, Schizomycetes (""fission fungi"") Class ren Sińhita mente menoḱ taeken Bacteria ko do nahḱ Prokaryote mentekô classify akana."
The Thar Desert plays a crucial role in attracting the moisture-laden south-west summer monsoon winds that, between June and October, provide the majority of India's rainfall.	June aete October tala re India aḱ láḱpaa Gamadaḱ eém tan daḱpereć south-west aḱ Situṅdipili Monsoon Hoyo ko or aágu re, Thar Desert aḱ Crucial Role menaḱa.
It extends as far north as the Satpura and Vindhya ranges in central India.	Ena ge sangin utar do north re Satpura jooṅ anḍoḱ central re Vindhya range jooṅ sartal akana.
Guatemala City is the capital of Guatemala.	Guatemala City do Guatemala ren Capital.
According to a 2011 PricewaterhouseCoopers (PwC) report, India's GDP at purchasing power parity could overtake that of the United States by 2045.	2011 ren PricewaterhouseCoopers (PwC) report lekate, 2045 loḱ do, India aḱ Purchasing Power Parity te soṅoḱ GDP te United States aḱ ó parom láḱ daeoḱa.
I have a stomachache.	Láć hasuń tana.
I've never been to Istanbul.	Istanbul musiṅg ó kań senat́a.
He is from our village.	Ać do ale Hatu renić.
Eugenics (/juːˈdʒɛnɪks/ yoo-JEN-iks; from Ancient Greek εύ̃ (eû) 'good, well' and -γενής (genḗs) 'come into being, growing') is a set of beliefs and practices that aim to improve the genetic quality of a human population.	Eugenics (yoo-JEN-iks; Ancient Greek ren εύ̃ (eû) 'bugi, good, well', anḍoḱ -γενής (genḗs) 'unduboḱ, haraoḱ aete bai akana) do human population re genetic quality improve oḱ kâ menten belief anḍoḱ practice kokô metaà.
India has been a member of World Trade Organization since 1 January 1995.	1 January 1995 aete India do World Trade Organization ren Member lekate menaḱa.
Come dance!	Ela susun me!
Robert slowly walked back up to the door.	Rober mãe-mãe te Silpiń taḱć sen ruaa ket́a.
The United Nations commends Algeria for its unwavering commitment to promoting international peace and security through dialogue and urges all Member States to emulate Algeria's approach in seeking peaceful solutions to conflicts.	United Nations paaàete, Japagar Hora te International Peace anḍoḱ Security usa teérsa lagit́ Algeria ren koaḱ kaa ḍekot́oḱ Commitment, commend oḱ tana, anḍoḱ saben Member Disum ko, Algeria aḱ Approach kô eto otoṅêkâ mentekô kaji uduroḱ tana.
I am running in order to catch the train.	Train saṕ lagit́eń nir tana.
I am eating a banana.	Kadaleń jom tana.
Who lost their phone?	Phone okoe at́ ket́a?
Goodbye!	Bugi te senoḱ me!
Preserved by an oral tradition that was resolutely vigilant, the Rigveda records the dawning of Hinduism in India.	Resolutely-vigilant-oral-tradition te preserve len Rigveda re India re Hinduism reaḱ Aṅgèneoṕ record akana.
I've got a wife and kids.	Ań Hon Buḍi ko menaḱkoa.
The land became a village.	En Ote ge Hatu eana.
Shape.	Shape.
Tom freed Mary.	Tom Mary ć raa ket́ića.
Bacterial cells are about one-tenth the size of eukaryotic cells and are typically 0.5–5.0 micrometres in length.	Bacteria Jiwt́okoa koaḱ Size do, Eukaryote Jivt́okoa koaḱ one-tenth gea, anḍoḱ typically do 0.5–5.0 Micrometre jiliṅa.
I have two cats.	Ań taḱ barea Bilae kin menaḱa.
I just turned 20 and my younger sister will turn 13 next month.	Ań neège 20 sirmań hoba eana anḍoḱ Undińkui do hućoḱ chanḍuḱ 13 sirmać hobana.
You are in my heart today as always.	Jaoge leka tisiṅ oo ańaḱ Jibon re menaḱmea.
No matter how twisted the rope, it still breaks.	Bayar jah chimin patet́ akan reó, sit́oḱ gea.
How did you like Boston?	Boston chilikaben sukuat́a?
The octal numeral system uses the digits 0 to 7, and is the base-8 number system.	Octal Numeral System re 0 aete 7 jooṅaḱ Digit ko agujoṅoḱa, ena do Base-8 Number System.
The village has no electricity.	En Hatu re Electricity banoḱa.
I upgraded.	Upgrade ket́ań.
Tom probably won't be chosen.	Tom toraṅ kać salaoḱa.
Come and dance with me!	Ela ań loḱ susun me!
"Christian Gottfried Ehrenberg introduced the word ""bacterium"" in 1828."	"1828 re Christian Gottfried Ehrenberg ""Bacterium"" Kajihon eć introduce ket́a."
Indian climate is strongly influenced by the Himalayas and the Thar Desert, both of which drive the economically and culturally pivotal summer and winter monsoons.	India aḱ Climate do, economically,, culturally pivotal Situṅ,, Rabaṅdipiliaḱ Monsoon ko aágu tan Himalayburu anḍoḱ Thar Desert te strongly influence akana.
Show it to me.	Uduṕań me.
That's Tom's horse.	Enić Tom aḱ Sadom.
It was first described by David Dunning and Justin Kruger in 1999.	Ena ayar utar 1999 re Justin Kruger anḍoḱ David Dunning tekin describe let́ taekena.
Kalman entered the village.	Kalman Hatuć bolo eana.
Don't be like him.	Enić leka alam taena.
Am I suspected?	Ań re tómon menaḱ chi?
The principles of eugenics have been in practice since ancient Greece.	Eugenics reaḱ principle ko do ancient Greece period aete ge practice re menaḱa.
Per the London Declaration, India retained its membership of the Commonwealth, becoming the first republic within it.	London declaration lekate, India ren ko commonwealth reaḱ membership kô retain ket́a, enka te ena ren ayarutar Member kô bai eana.
I accuse the politicians of starting a war without plausible motive.	Politician ko, saári lekann Motive banoḱ tege Gopoćkô eṭeć ket́ reaḱń kaji chunḍulkô tana.
Western Sahara has phosphate.	West Sahara re Phosphate namoḱa.
Tom didn't want to come here yesterday.	Tom hola nentaḱ kać hućoḱ sanaṅ kena.
She is at home.	Oaḱ re menaḱća.
Numerous similar studies have been done.	Esu sangi similar study ko hoba akana.
What are you talking about?	Chenaḱpe jagarê tana?
Come dance!	Ela susun pe!
I asked Tom what he was reading.	Ać chenaḱć paṛao taekena mente Tom eń kuli ket́ića.
I don't think that Tom is still willing to do that.	Tom nahḱ ó enać paeṭi sanaṅ tan leka do kań adaêa.
What is your name?	Abenaḱ Nutum chenaḱa?
Those syringes had bacteria in them.	En Syringe ko re Bacteria ko tae kena.
Let's unearth the ginger.	Ada bu ur ooḱlêa dola.
Bacteria are important in sewage treatment and the breakdown of oil spills, the production of cheese and yogurt through fermentation, the recovery of gold, palladium, copper and other metals in the mining sector (biomining, bioleaching), as well as in biotechnology, and the manufacture of antibiotics and other chemicals.	Bacteria ko do, Sewage Treatment anḍoḱ Nur Sunum breakdown re,, Unuput́process te Cheese anḍoḱ Yogurt baái re,, Mining Sector re Samaom,, Palladium,, Copper anḍoḱ eṭaḱ Metal ko recovery re, Biotechnology re, anḍoḱ Antibiotics,, eṭaḱ Chemical ko baái reko important gea.
India is a nuclear-weapon state, which ranks high in military expenditure.	Military-expenditure re high-rank menaḱ tan India do nuclear-weapon-Disum tana.
The report highlights key growth factors: a young and rapidly growing working-age population; growth in the manufacturing sector because of rising education and engineering skill levels; and sustained growth of the consumer market driven by a rapidly growing middle-class.	En Report re Key Growth Factor ko highlight akana: young,, rapidly-growing Working-age Population; rise oḱ tan Education,, Engineering Skill Level te Manufacturing Sector ren Growth; anḍoḱ, rapidly-growing Middle-class ko te udur tersa akan Consumer Marker reaḱ sustained Growth.
Where are you going?	Okon tepea?
Goodbye!	Mar endo!
However, the country ranks 136th in the world in nominal GDP per capita and 125th in GDP per capita at PPP.	Enkareóge, Nominal GDP Per Capita lekate, India do 136 Rank re, anḍoḱ PPP re GDP Per Capita lekate 125 Rank re menaḱa.
I always work hard.	Ań jaoge Paeṭi reń lagatiṅ len gea.
During this time, pastoral peoples, whose land had been cleared to make way for the growing agricultural economy, were accommodated within caste society, as were new non-traditional ruling classes.	Nen time-period re, non-traditional ruling class ko leka ge, growing agricultural economy lagit́ hora bai re ote amiṅ ean pastoral people ko ó caste society reko accommodate eana.
I demand quality work.	Quality ann Paiṭiń asi tana.
Can I take a picture here?	Netaḱ koń photo baaêredo?
Most satellites, including the Hubble Space Telescope, orbit in a low Earth orbit of just a few hundred kilometers altitude.	Hubble Space Telescope misa keet́aḱ láḱpaa Telescope ko do, Altitude chiminaṅ ge kilometre hoban Suba Ote Orbit rekô biur sesena.
The concentration of carbon dioxide in the atmosphere has now reached 400 parts per million.	Atmosphere re Carbon Dioxide reaḱ Concentration do nahḱ 400 parts per million jooṅ beṭa eana.
Did you ask your father?	Apumem kuli ket́ića chi?
You are beautiful.	Esu bugipe neloḱa.
In 2022, India became the world's third-largest vehicle market after China and the United States, surpassing Japan.	In 2022, India became the world's third-largest vehicle market after China and the United States, surpassing Japan.
How do you say XXX in English?	XXX English te chenaḱpe metaà?
I like to dip a cookie in coffee.	Coffee re Cookie tupuê sukuńa.
Classical Sanskrit literature flowered as well, and Indian science, astronomy, medicine, and mathematics made significant advances.	Classical Sanskrit Literature ó hara sagen eana, India ren Science, Astronomy, Medicine, anḍoḱ Mathematics ko significantly advance eana.
